Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Revenue (Millions)
891,The Intent,Crime,"Gunz (Dylan Duffus) is thrust into a world of excitement when he joins the TIC crew. The crew, led by the ruthless Hoodz (Scorcher), goes from low level weed peddling to full on armed ... See full summary »",Femi Oyeniran,"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha",28/11/2016,104,3.5,0
892,This Is 40,Comedy,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",31/03/2012,134,6.2,67.52
893,Real Steel,Action,"In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.",Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie",28/02/2011,127,7.1,85.46
894,Sex and the City,Comedy,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis",15/09/2008,145,5.5,152.64
895,Rambo,Action,"In Thailand, John Rambo joins a group of missionaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",Sylvester Stallone,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",25/01/2008,92,7.1,42.72
896,Planet Terror,Action,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",Robert Rodriguez,"Rose McGowan, Freddy Rodríguez, Josh Brolin,Marley Shelton",08/05/2007,105,7.1,0
897,Concussion,Biography,"In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",Peter Landesman,"Will Smith, Alec Baldwin, Albert Brooks, David Morse",07/05/2015,123,7.1,34.53
898,The Fall,Adventure,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",Tarsem Singh,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek",21/06/2006,117,7.9,2.28
899,The Ugly Truth,Comedy,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »,Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",23/09/2009,96,6.5,88.92
900,Bride Wars,Comedy,Two best friends become rivals when they schedule their respective weddings on the same day.,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg",08/03/2009,89,5.5,58.72
901,Sleeping with Other People,Comedy,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",Leslye Headland,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva",14/03/2015,101,6.5,0.81
902,Snakes on a Plane,Action,"An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard",03/03/2006,105,5.6,34.01
903,What If,Comedy,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver",22/12/2013,98,6.8,3.45
904,How to Train Your Dragon 2,Animation,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",18/08/2014,102,7.9,177
905,RoboCop,Action,"In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",José Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",18/02/2014,117,6.2,58.61
906,In Dubious Battle,Drama,An activist gets caught up in the labor movement for farm workers in California during the 1930s.,James Franco,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez",12/02/2016,110,6.2,0
907,"Hello, My Name Is Doris",Comedy,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,Michael Showalter,"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey",08/05/2015,95,6.7,14.44
908,Ocean's Thirteen,Crime,"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell",12/02/2007,122,6.9,117.14
909,Slither,Comedy,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson",05/05/2006,95,6.5,7.77
910,Contagion,Drama,"Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.",Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow",03/12/2011,106,6.6,75.64
911,Il racconto dei racconti - Tale of Tales,Drama,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.",Matteo Garrone,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly",07/05/2015,133,6.4,0.08
912,I Am the Pretty Thing That Lives in the House,Thriller,A young nurse takes care of elderly author who lives in a haunted house.,Oz Perkins,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban",31/03/2016,87,4.7,0
913,Bridge to Terabithia,Adventure,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,Gabor Csupo,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",30/03/2007,96,7.2,82.23
914,Coherence,Mystery,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen",16/09/2013,89,7.2,0.07
915,Notorious,Biography,"The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",George Tillman Jr.,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione",16/12/2009,122,6.7,36.84
916,Goksung,Drama,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,Hong-jin Na,"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun",30/08/2016,156,7.5,0.79
917,The Expendables 2,Action,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme",14/07/2012,103,6.6,85.02
918,The Girl Next Door,Crime,"Based on the Jack Ketchum novel of the same name, The Girl Next Door follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt...and the boys who witness and fail to report the crime.",Gregory Wilson,"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin",11/09/2007,91,6.7,0
919,Perfume: The Story of a Murderer,Crime,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol",28/10/2006,147,7.5,2.21
920,The Golden Compass,Adventure,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker",18/09/2007,113,6.1,70.08
921,Centurion,Action,A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.,Neil Marshall,"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski",01/07/2010,97,6.4,0.12
922,Scouts Guide to the Zombie Apocalypse,Action,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",Christopher Landon,"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont",15/11/2015,93,6.3,3.64
923,17 Again,Comedy,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon",19/12/2009,102,6.4,64.15
924,No Escape,Action,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",John Erick Dowdle,"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak",06/12/2015,103,6.8,27.29
925,Superman Returns,Action,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",24/04/2006,154,6.1,200.07
926,The Twilight Saga: Breaking Dawn - Part 1,Adventure,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham",06/08/2011,117,4.9,281.28
927,Precious,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",Lee Daniels,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey",01/06/2009,110,7.3,47.54
928,The Sea of Trees,Drama,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta",18/05/2015,110,5.9,0.02
929,Good Kids,Comedy,Four high school students look to redefine themselves after graduation.,Chris McCoy,"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard",04/01/2016,86,6.1,0
930,The Master,Drama,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.,Paul Thomas Anderson,"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons",16/05/2012,144,7.1,16.38
931,Footloose,Comedy,"City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",Craig Brewer,"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell",21/08/2011,113,5.9,51.78
932,If I Stay,Drama,"Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",R.J. Cutler,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard",27/05/2014,107,6.8,50.46
933,The Ticket,Drama,A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.,Ido Fluk,"Dan Stevens, Malin Akerman, Oliver Platt, Kerry Bishé",18/02/2016,97,5.4,0
934,Detour,Thriller,"A young law student blindly enters into a pact with a man who offers to kill his stepfather, whom he feels is responsible for the accident that sent his mother into a coma.",Christopher Smith,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer",20/08/2016,97,6.3,0
935,The Love Witch,Comedy,A modern-day witch uses spells and magic to get men to fall in love with her.,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys",22/05/2016,120,6.2,0.22
936,Talladega Nights: The Ballad of Ricky Bobby,Action,"#1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole",27/11/2006,108,6.6,148.21
937,The Human Centipede (First Sequence),Horror,"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura",09/05/2009,92,4.4,0.18
938,Super,Comedy,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon",09/11/2010,96,6.8,0.32
939,The Siege of Jadotville,Action,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,Richie Smyth,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton",16/11/2016,108,7.3,0
940,Up in the Air,Drama,"Ryan Bingham enjoys living out of a suitcase for his job traveling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest and a new hire.",Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman",12/03/2009,109,7.4,83.81
941,The Midnight Meat Train,Horror,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways imaginable.",Ryûhei Kitamura,"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields",24/12/2008,98,6.1,0.07
942,The Twilight Saga: Eclipse,Adventure,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel",13/02/2010,124,4.9,300.52
943,Transpecos,Thriller,"For three Border Patrol agents working a remote desert checkpoint, the contents of one car will reveal an insidious plot within their own ranks. The next 24 hours will take them on a treacherous journey that could cost them their lives.",Greg Kwedar,"Johnny Simmons, Gabriel Luna, Clifton Collins Jr.,David Acord",26/05/2016,86,5.8,0
944,What's Your Number?,Comedy,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,Mark Mylod,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner",19/05/2011,106,6.1,13.99
945,Riddick,Action,"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà",12/09/2013,119,6.4,42
946,Triangle,Fantasy,"The story revolves around the passengers of a yachting trip in the Atlantic Ocean who, when struck by mysterious weather conditions, jump to another ship only to experience greater havoc on the open seas.",Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor,Michael Dorman",30/11/2009,99,6.9,0
947,The Butler,Biography,"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda",31/07/2013,132,7.2,116.63
948,King Cobra,Crime,"This ripped-from-the-headlines drama covers the early rise of gay porn headliner Sean Paul Lockhart a.k.a. Brent Corrigan, before his falling out with the producer who made him famous. When... See full summary »",Justin Kelly,"Garrett Clayton, Christian Slater, Molly Ringwald,James Kelley",30/12/2016,91,5.6,0.03
